ds4: [t=+12338.9ms] coordinator connected; plan: 3337 experts for this worker (coordinator keeps 5562 hottest, SSD tail active on coordinator)
ds4: [t=+24959.0ms] plan installed: 3337/3337 experts wired (22.00 GiB); serving
ds4: [t=+45141.6ms] req seq=49 L40 k=1 ids=[198] w=[0.2247] compute=1.51 ms ok
ds4: [t=+45158.6ms] req seq=50 L42 k=1 ids=[158] w=[0.1628] compute=1.43 ms ok
ds4: [t=+45525.1ms] req seq=51 L3 k=1 ids=[191] w=[0.2814] compute=163.74 ms ok
ds4: [t=+45525.2ms] tok#1 done: 24 layer-reqs, 28 experts, compute 645.78 ms (26.91 ms/layer), wall 3530.73 ms, errors=0, evict-hints=24 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=51 misses=0 swaps=50
ds4: [t=+45525.2ms] tok#1 experts: L4=[239] L8=[1] L9=[241] L11=[195] L14=[108] L15=[124] L16=[30,205] L17=[222] L18=[246,41] L20=[248] L22=[106] L23=[0] L24=[177] L25=[12,78] L26=[190] L30=[252] L31=[104] L32=[161] L33=[236] L34=[171] L37=[236,73] L39=[3] L40=[198] L42=[158]
ds4: [t=+45774.2ms] req seq=52 L10 k=1 ids=[107] w=[0.0992] compute=2.31 ms ok
ds4: [t=+45781.9ms] req seq=53 L11 k=1 ids=[1] w=[0.2170] compute=1.82 ms ok
ds4: [t=+45969.4ms] req seq=54 L14 k=1 ids=[152] w=[0.2228] compute=168.72 ms ok
ds4: [t=+45990.0ms] req seq=55 L15 k=1 ids=[127] w=[0.1404] compute=1.65 ms ok
ds4: [t=+46010.7ms] req seq=56 L16 k=1 ids=[244] w=[0.3352] compute=1.61 ms ok
ds4: [t=+46183.2ms] req seq=57 L17 k=1 ids=[3] w=[0.2908] compute=2.19 ms ok
ds4: [t=+46193.4ms] req seq=58 L18 k=2 ids=[23,41] w=[0.2371,0.1818] compute=1.81 ms ok
ds4: [t=+46214.0ms] req seq=59 L21 k=2 ids=[167,146] w=[0.2908,0.2089] compute=1.90 ms ok
ds4: [t=+46311.8ms] req seq=60 L24 k=2 ids=[203,90] w=[0.2515,0.1935] compute=2.12 ms ok
ds4: [t=+46412.6ms] req seq=61 L33 k=1 ids=[221] w=[0.1780] compute=2.05 ms ok
ds4: [t=+46425.1ms] req seq=62 L34 k=2 ids=[30,191] w=[0.2135,0.2121] compute=1.88 ms ok
ds4: [t=+46449.1ms] req seq=63 L37 k=1 ids=[42] w=[0.2387] compute=1.73 ms ok
ds4: [t=+46524.8ms] req seq=64 L3 k=3 ids=[59,3,56] w=[0.3418,0.1960,0.1509] compute=1.79 ms ok
ds4: [t=+46524.9ms] tok#2 done: 13 layer-reqs, 17 experts, compute 353.54 ms (27.20 ms/layer), wall 1163.47 ms, errors=0, evict-hints=13 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=64 misses=0 swaps=63
ds4: [t=+46524.9ms] tok#2 experts: L3=[191] L10=[107] L11=[1] L14=[152] L15=[127] L16=[244] L17=[3] L18=[23,41] L21=[167,146] L24=[203,90] L33=[221] L34=[30,191] L37=[42]
ds4: [t=+46530.9ms] req seq=65 L4 k=1 ids=[24] w=[0.1576] compute=1.43 ms ok
ds4: [t=+46536.6ms] req seq=66 L5 k=3 ids=[252,63,34] w=[0.3510,0.2169,0.1252] compute=1.61 ms ok
ds4: [t=+46542.3ms] req seq=67 L6 k=1 ids=[76] w=[0.1050] compute=1.43 ms ok
ds4: [t=+46564.3ms] req seq=68 L12 k=1 ids=[218] w=[0.1239] compute=1.53 ms ok
ds4: [t=+46570.2ms] req seq=69 L13 k=1 ids=[38] w=[0.1375] compute=1.61 ms ok
ds4: [t=+46576.4ms] req seq=70 L14 k=2 ids=[19,88] w=[0.1963,0.1661] compute=1.60 ms ok
ds4: [t=+46582.3ms] req seq=71 L15 k=1 ids=[38] w=[0.1286] compute=1.53 ms ok
ds4: [t=+46588.2ms] req seq=72 L16 k=3 ids=[15,205,20] w=[0.2605,0.2342,0.2368] compute=1.61 ms ok
ds4: [t=+46595.3ms] req seq=73 L17 k=3 ids=[110,147,5] w=[0.1918,0.1653,0.1698] compute=1.60 ms ok
ds4: [t=+46606.1ms] req seq=74 L20 k=2 ids=[21,151] w=[0.1970,0.1745] compute=1.66 ms ok
ds4: [t=+46621.0ms] req seq=75 L23 k=2 ids=[170,187] w=[0.2025,0.1973] compute=1.75 ms ok
ds4: [t=+46630.1ms] req seq=76 L25 k=1 ids=[44] w=[0.2385] compute=1.56 ms ok
ds4: [t=+46677.9ms] req seq=77 L36 k=1 ids=[216] w=[0.2431] compute=1.96 ms ok
ds4: [t=+46684.2ms] req seq=78 L37 k=1 ids=[1] w=[0.4137] compute=1.86 ms ok
ds4: [t=+46698.0ms] req seq=79 L39 k=1 ids=[69] w=[0.2545] compute=1.72 ms ok
ds4: [t=+46713.7ms] req seq=80 L42 k=1 ids=[142] w=[0.1982] compute=1.86 ms ok
ds4: [t=+46733.2ms] req seq=81 L3 k=1 ids=[150] w=[0.1892] compute=1.92 ms ok
ds4: [t=+46733.4ms] tok#3 done: 17 layer-reqs, 28 experts, compute 28.13 ms (1.65 ms/layer), wall 210.33 ms, errors=0, evict-hints=17 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=81 misses=0 swaps=80
ds4: [t=+46733.4ms] tok#3 experts: L3=[59,3,56] L4=[24] L5=[252,63,34] L6=[76] L12=[218] L13=[38] L14=[19,88] L15=[38] L16=[15,205,20] L17=[110,147,5] L20=[21,151] L23=[170,187] L25=[44] L36=[216] L37=[1] L39=[69] L42=[142]
ds4: [t=+46741.6ms] req seq=82 L5 k=1 ids=[63] w=[0.2107] compute=1.79 ms ok
ds4: [t=+46750.2ms] req seq=83 L7 k=1 ids=[13] w=[0.1418] compute=1.85 ms ok
ds4: [t=+46762.6ms] req seq=84 L10 k=1 ids=[26] w=[0.1143] compute=1.88 ms ok
ds4: [t=+46774.1ms] req seq=85 L13 k=1 ids=[125] w=[0.1795] compute=1.87 ms ok
ds4: [t=+46781.0ms] req seq=86 L15 k=3 ids=[206,113,188] w=[0.2562,0.1866,0.1719] compute=1.86 ms ok
ds4: [t=+46787.8ms] req seq=87 L16 k=1 ids=[144] w=[0.1892] compute=1.87 ms ok
ds4: [t=+46798.6ms] req seq=88 L19 k=1 ids=[87] w=[0.1291] compute=1.86 ms ok
ds4: [t=+46804.7ms] req seq=89 L20 k=1 ids=[1] w=[0.1862] compute=1.93 ms ok
ds4: [t=+46812.3ms] req seq=90 L21 k=2 ids=[178,133] w=[0.2330,0.2047] compute=1.81 ms ok
ds4: [t=+46821.3ms] req seq=91 L23 k=1 ids=[77] w=[0.2117] compute=1.85 ms ok
ds4: [t=+46828.8ms] req seq=92 L24 k=2 ids=[90,235] w=[0.3025,0.1871] compute=1.82 ms ok
ds4: [t=+46835.6ms] req seq=93 L25 k=1 ids=[48] w=[0.2212] compute=1.91 ms ok
ds4: [t=+46851.0ms] req seq=94 L27 k=1 ids=[117] w=[0.1755] compute=1.88 ms ok
ds4: [t=+46864.0ms] req seq=95 L29 k=1 ids=[225] w=[0.2314] compute=1.81 ms ok
ds4: [t=+46872.2ms] req seq=96 L30 k=1 ids=[171] w=[0.1779] compute=1.82 ms ok
ds4: [t=+46888.6ms] req seq=97 L32 k=1 ids=[228] w=[0.2448] compute=1.88 ms ok
ds4: [t=+46901.7ms] req seq=98 L34 k=1 ids=[191] w=[0.1734] compute=1.90 ms ok
